contributor,PR,issue,commit,repository,type
Aaron1011,78.0,37.0,77.0,41.0,Human
HTGAzureX1212,63.0,3.0,161.0,42.0,Human
Nadrieril,74.0,80.0,39.0,38.0,Human
Xiretza,15.0,24.0,8.0,7.0,Human
Young-Flash,42.0,61.0,116.0,47.0,Human
alexcrichton,95.0,79.0,35.0,47.0,Human
aliemjay,10.0,29.0,0.0,1.0,Human
aochagavia,41.0,39.0,62.0,48.0,Human
bjorn3,70.0,105.0,29.0,21.0,Human
bluss,43.0,79.0,98.0,69.0,Human
bors,34.0,134.0,75.0,1.0,Bot
clarfonthey,49.0,113.0,58.0,29.0,Human
dependabot[bot],90.0,20.0,4.0,98.0,Bot
froystig,16.0,15.0,43.0,20.0,Human
gilescope,10.0,15.0,66.0,47.0,Human
jackh726,84.0,43.0,75.0,27.0,Human
japaric,75.0,44.0,85.0,71.0,Human
jdm,58.0,87.0,25.0,23.0,Human
jsha,78.0,35.0,57.0,56.0,Human
kennytm,33.0,126.0,30.0,22.0,Human
leoyvens,52.0,54.0,46.0,35.0,Human
llogiq,50.0,91.0,6.0,31.0,Human
lnicola,38.0,155.0,18.0,33.0,Human
m-ou-se,39.0,135.0,14.0,10.0,Human
matklad,67.0,48.0,103.0,50.0,Human
ms178,0.0,34.0,174.0,91.0,Human
msullivan,79.0,53.0,50.0,48.0,Human
ojeda,35.0,40.0,68.0,114.0,Human
pnkfelix,41.0,117.0,9.0,11.0,Human
rust-log-analyzer,0.0,300.0,0.0,0.0,Bot
rust-timer,0.0,117.0,183.0,0.0,Bot
rustbot,0.0,59.0,0.0,1.0,Bot
rylev,92.0,44.0,49.0,37.0,Human
saethlin,37.0,127.0,57.0,23.0,Human
smoelius,82.0,21.0,114.0,79.0,Human
sooneeatwork,4.0,0.0,27.0,45.0,Human
taiki-e,23.0,18.0,136.0,109.0,Human
tshepang,124.0,21.0,40.0,45.0,Human
unexge,14.0,10.0,26.0,53.0,Human
willcrichton,40.0,74.0,93.0,9.0,Human
